Source,Destination,Label
4742018776408334772,4742018776408334336.000000000000,Rounded Off Numbers
35966635879,35966635879.327842712402,Rounded Off Numbers
66955369620045945294,66955369620045946880.000000000000,Rounded Off Numbers
1257333984,1257333984.028337717056,Rounded Off Numbers
212708731,212708731.073141425848,Rounded Off Numbers
459981505,459981505.205388188362,Rounded Off Numbers
09793186551235564,9793186551235564.000000000000,Rounded Off Numbers
2035778,2035778.561106925132,Rounded Off Numbers
086,86.276103583574,Rounded Off Numbers
1029687362896888452,1029687362896888448.000000000000,Rounded Off Numbers
20262934606082026832,20262934606082027520.000000000000,Rounded Off Numbers
661210,661210.029324487201,Rounded Off Numbers
0,0.864442432338,Rounded Off Numbers
7332125,7332125.941881949082,Rounded Off Numbers
10622151178,10622151178.458705902100,Rounded Off Numbers
1143021434,1143021434.893951416016,Rounded Off Numbers
9383172325,9383172325.577629089355,Rounded Off Numbers
293401,293401.104639474128,Rounded Off Numbers
7957,7957.253856693498,Rounded Off Numbers
8,8.411123937403,Rounded Off Numbers
461298766648516,461298766648516.000000000000,Rounded Off Numbers
68006849,68006849.275134041905,Rounded Off Numbers
109608,109608.515437016482,Rounded Off Numbers
630960,630960.627974007628,Rounded Off Numbers
80676769277496,80676769277496.390625000000,Rounded Off Numbers
7637071642258,7637071642258.066406250000,Rounded Off Numbers
51,51.752494856230,Rounded Off Numbers
20181665361,20181665361.654170989990,Rounded Off Numbers
86509734222,86509734222.377243041992,Rounded Off Numbers
418,418.460964956643,Rounded Off Numbers
393625678313,393625678313.472106933594,Rounded Off Numbers
0454914296449061,454914296449061.437500000000,Rounded Off Numbers
51889683618731103,51889683618731104.000000000000,Rounded Off Numbers
1579,1579.400677923615,Rounded Off Numbers
19,19.129947698383,Rounded Off Numbers
80474343582318,80474343582318.656250000000,Rounded Off Numbers
6929,6929.223594293515,Rounded Off Numbers
708257,708257.645599853597,Rounded Off Numbers
19521481733210,19521481733210.359375000000,Rounded Off Numbers
29,29.252782052161,Rounded Off Numbers
538,538.431149880724,Rounded Off Numbers
3,3.838504088360,Rounded Off Numbers
0002521,2521.563139767557,Rounded Off Numbers
1,1.347020020040,Rounded Off Numbers
5,5.554507371642,Rounded Off Numbers
2870993830616490,2870993830616490.000000000000,Rounded Off Numbers
8,8.073361336001,Rounded Off Numbers
21683923,21683923.426837079227,Rounded Off Numbers
0503098,503098.034703161509,Rounded Off Numbers
02331750062433731492,2331750062433732096.000000000000,Rounded Off Numbers
227517130,227517130.616170436144,Rounded Off Numbers
85886957668901115,85886957668901120.000000000000,Rounded Off Numbers
578796137105075843,578796137105075840.000000000000,Rounded Off Numbers
456606293993,456606293993.242004394531,Rounded Off Numbers
966267167360495972,966267167360496000.000000000000,Rounded Off Numbers
88814183,88814183.789258927107,Rounded Off Numbers
0450246,450246.071074324136,Rounded Off Numbers
211,211.215746924792,Rounded Off Numbers
9444919460,9444919460.340789794922,Rounded Off Numbers
17326,17326.006756943698,Rounded Off Numbers
58438971539707588,58438971539707584.000000000000,Rounded Off Numbers
1054375194,1054375194.155834436417,Rounded Off Numbers
17,17.383918283296,Rounded Off Numbers
2304133851024,2304133851024.910156250000,Rounded Off Numbers
61473,61473.367400494513,Rounded Off Numbers
735237250418541840,735237250418541824.000000000000,Rounded Off Numbers
55442176421,55442176421.395690917969,Rounded Off Numbers
46260843821,46260843821.000427246094,Rounded Off Numbers
024216,24216.011250287938,Rounded Off Numbers
5379891601162663567,5379891601162663936.000000000000,Rounded Off Numbers
68753,68753.896516964480,Rounded Off Numbers
84105,84105.781883686286,Rounded Off Numbers
